name;identifier;org_id
Gemeente Aa en Hunze;GM1680;gm1680
Gemeente Aalsmeer;GM0358;gm0358
Gemeente Aalten;GM0197;gm0197
Gemeente Achtkarspelen;GM0059;gm0059
Gemeente Alblasserdam;GM0482;gm0482
Gemeente Albrandswaard;GM0613;gm0613
Gemeente Alkmaar;GM0361;gm0361
Gemeente Almelo;GM0141;gm0141
Gemeente Almere;GM0034;gm0034
Gemeente Alphen aan den Rijn;GM0484;gm0484
Gemeente Alphen-Chaam;GM1723;gm1723
Gemeente Altena;GM1959;gm1959
Gemeente Ameland;GM0060;gm0060
Gemeente Amersfoort;GM0307;gm0307
Gemeente Amstelveen;GM0362;gm0362
Gemeente Amsterdam;GM0363;gm0363
Gemeente Apeldoorn;GM0200;gm0200
Gemeente Arnhem;GM0202;gm0202
Gemeente Assen;GM0106;gm0106
Gemeente Asten;GM0743;gm0743
Gemeente Baarle-Nassau;GM0744;gm0744
Gemeente Baarn;GM0308;gm0308
Gemeente Barendrecht;GM0489;gm0489
Gemeente Barneveld;GM0203;gm0203
Gemeente Beek;GM0888;gm0888
Gemeente Beekdaelen;GM1954;gm1954
Gemeente Beesel;GM0889;gm0889
Gemeente Berg en Dal;GM1945;gm1945
Gemeente Bergeijk;GM1724;gm1724
Gemeente Bergen (L.);GM0893;gm0893
Gemeente Bergen (NH.);GM0373;gm0373
Gemeente Bergen op Zoom;GM0748;gm0748
Gemeente Berkelland;GM1859;gm1859
Gemeente Bernheze;GM1721;gm1721
Gemeente Best;GM0753;gm0753
Gemeente Beuningen;GM0209;gm0209
Gemeente Beverwijk;GM0375;gm0375
Gemeente Bladel;GM1728;gm1728
Gemeente Blaricum;GM0376;gm0376
Gemeente Bloemendaal;GM0377;gm0377
Gemeente Bodegraven-Reeuwijk;GM1901;gm1901
Gemeente Boekel;GM0755;gm0755
Gemeente Borger-Odoorn;GM1681;gm1681
Gemeente Borne;GM0147;gm0147
Gemeente Borsele;GM0654;gm0654
Gemeente Boxtel;GM0757;gm0757
Gemeente Breda;GM0758;gm0758
Gemeente Bronckhorst;GM1876;gm1876
Gemeente Brummen;GM0213;gm0213
Gemeente Brunssum;GM0899;gm0899
Gemeente Bunnik;GM0312;gm0312
Gemeente Bunschoten;GM0313;gm0313
Gemeente Buren;GM0214;gm0214
Gemeente Capelle aan den IJssel;GM0502;gm0502
Gemeente Castricum;GM0383;gm0383
Gemeente Coevorden;GM0109;gm0109
Gemeente Cranendonck;GM1706;gm1706
Gemeente Culemborg;GM0216;gm0216
Gemeente Dalfsen;GM0148;gm0148
Gemeente Dantumadiel;GM1891;gm1891
Gemeente De Bilt;GM0310;gm0310
Gemeente De Fryske Marren;GM1940;gm1940
Gemeente De Ronde Venen;GM0736;gm0736
Gemeente De Wolden;GM1690;gm1690
Gemeente Delft;GM0503;gm0503
Gemeente Den Haag;GM0518;gm0518
Gemeente Den Helder;GM0400;gm0400
Gemeente Deurne;GM0762;gm0762
Gemeente Deventer;GM0150;gm0150
Gemeente Diemen;GM0384;gm0384
Gemeente Dijk en Waard;GM1980;gm1980
Gemeente Dinkelland;GM1774;gm1774
Gemeente Doesburg;GM0221;gm0221
Gemeente Doetinchem;GM0222;gm0222
Gemeente Dongen;GM0766;gm0766
Gemeente Dordrecht;GM0505;gm0505
Gemeente Drechterland;GM0498;gm0498
Gemeente Drimmelen;GM1719;gm1719
Gemeente Dronten;GM0303;gm0303
Gemeente Druten;GM0225;gm0225
Gemeente Duiven;GM0226;gm0226
Gemeente Echt-Susteren;GM1711;gm1711
Gemeente Edam-Volendam;GM0385;gm0385
Gemeente Ede;GM0228;gm0228
Gemeente Eemnes;GM0317;gm0317
Gemeente Eemsdelta;GM1979;gm1979
Gemeente Eersel;GM0770;gm0770
Gemeente Eijsden-Margraten;GM1903;gm1903
Gemeente Eindhoven;GM0772;gm0772
Gemeente Elburg;GM0230;gm0230
Gemeente Emmen;GM0114;gm0114
Gemeente Enkhuizen;GM0388;gm0388
Gemeente Enschede;GM0153;gm0153
Gemeente Epe;GM0232;gm0232
Gemeente Ermelo;GM0233;gm0233
Gemeente Etten-Leur;GM0777;gm0777
Gemeente Geertruidenberg;GM0779;gm0779
Gemeente Geldrop-Mierlo;GM1771;gm1771
Gemeente Gemert-Bakel;GM1652;gm1652
Gemeente Gennep;GM0907;gm0907
Gemeente Gilze en Rijen;GM0784;gm0784
Gemeente Goeree-Overflakkee;GM1924;gm1924
Gemeente Goes;GM0664;gm0664
Gemeente Goirle;GM0785;gm0785
Gemeente Gooise Meren;GM1942;gm1942
Gemeente Gorinchem;GM0512;gm0512
Gemeente Gouda;GM0513;gm0513
Gemeente Groningen;GM0014;gm0014
Gemeente Gulpen-Wittem;GM1729;gm1729
Gemeente Haaksbergen;GM0158;gm0158
Gemeente Haarlem;GM0392;gm0392
Gemeente Haarlemmermeer;GM0394;gm0394
Gemeente Halderberge;GM1655;gm1655
Gemeente Hardenberg;GM0160;gm0160
Gemeente Harderwijk;GM0243;gm0243
Gemeente Hardinxveld-Giessendam;GM0523;gm0523
Gemeente Harlingen;GM0072;gm0072
Gemeente Hattem;GM0244;gm0244
Gemeente Heemskerk;GM0396;gm0396
Gemeente Heemstede;GM0397;gm0397
Gemeente Heerde;GM0246;gm0246
Gemeente Heerenveen;GM0074;gm0074
Gemeente Heerlen;GM0917;gm0917
Gemeente Heeze-Leende;GM1658;gm1658
Gemeente Heiloo;GM0399;gm0399
Gemeente Hellendoorn;GM0163;gm0163
Gemeente Helmond;GM0794;gm0794
Gemeente Hendrik-Ido-Ambacht;GM0531;gm0531
Gemeente Hengelo;GM0164;gm0164
Gemeente Het Hogeland;GM1966;gm1966
Gemeente Heumen;GM0252;gm0252
Gemeente Heusden;GM0797;gm0797
Gemeente Hillegom;GM0534;gm0534
Gemeente Hilvarenbeek;GM0798;gm0798
Gemeente Hilversum;GM0402;gm0402
Gemeente Hoeksche Waard;GM1963;gm1963
Gemeente Hof van Twente;GM1735;gm1735
Gemeente Hollands Kroon;GM1911;gm1911
Gemeente Hoogeveen;GM0118;gm0118
Gemeente Hoorn;GM0405;gm0405
Gemeente Horst aan de Maas;GM1507;gm1507
Gemeente Houten;GM0321;gm0321
Gemeente Huizen;GM0406;gm0406
Gemeente Hulst;GM0677;gm0677
Gemeente IJsselstein;GM0353;gm0353
Gemeente Kaag en Braassem;GM1884;gm1884
Gemeente Kampen;GM0166;gm0166
Gemeente Kapelle;GM0678;gm0678
Gemeente Katwijk;GM0537;gm0537
